"","Threshold","power_narrow","dcy_indx","PXID"
"1","0.01","511","0","PXD002470"
"2","0.011","511","0","PXD002470"
"3","0.012","520","0","PXD002470"
"4","0.013","520","0","PXD002470"
"5","0.014","520","0","PXD002470"
"6","0.015","520","0","PXD002470"
"7","0.016","520","0","PXD002470"
"8","0.017","520","0","PXD002470"
"9","0.018","524","0","PXD002470"
"10","0.019","524","0","PXD002470"
"11","0.02","524","0","PXD002470"
"12","0.021","526","0","PXD002470"
"13","0.022","526","0","PXD002470"
"14","0.023","527","0","PXD002470"
"15","0.024","527","0","PXD002470"
"16","0.025","533","0","PXD002470"
"17","0.026","533","0","PXD002470"
"18","0.027","533","0","PXD002470"
"19","0.028","533","0","PXD002470"
"20","0.029","535","0","PXD002470"
"21","0.03","535","0","PXD002470"
"22","0.031","535","0","PXD002470"
"23","0.032","535","0","PXD002470"
"24","0.033","535","0","PXD002470"
"25","0.034","536","0","PXD002470"
"26","0.035","536","0","PXD002470"
"27","0.036","538","0","PXD002470"
"28","0.037","538","0","PXD002470"
"29","0.038","538","0","PXD002470"
"30","0.039","540","0","PXD002470"
"31","0.04","540","0","PXD002470"
"32","0.041","540","0","PXD002470"
"33","0.042","540","0","PXD002470"
"34","0.043","540","0","PXD002470"
"35","0.044","540","0","PXD002470"
"36","0.045","543","0","PXD002470"
"37","0.046","543","0","PXD002470"
"38","0.047","543","0","PXD002470"
"39","0.048","543","0","PXD002470"
"40","0.049","543","0","PXD002470"
"41","0.05","546","0","PXD002470"
"42","0.01","468","1","PXD002470"
"43","0.011","482","1","PXD002470"
"44","0.012","482","1","PXD002470"
"45","0.013","483","1","PXD002470"
"46","0.014","483","1","PXD002470"
"47","0.015","489","1","PXD002470"
"48","0.016","489","1","PXD002470"
"49","0.017","490","1","PXD002470"
"50","0.018","490","1","PXD002470"
"51","0.019","492","1","PXD002470"
"52","0.02","492","1","PXD002470"
"53","0.021","496","1","PXD002470"
"54","0.022","496","1","PXD002470"
"55","0.023","496","1","PXD002470"
"56","0.024","496","1","PXD002470"
"57","0.025","499","1","PXD002470"
"58","0.026","506","1","PXD002470"
"59","0.027","521","1","PXD002470"
"60","0.028","521","1","PXD002470"
"61","0.029","521","1","PXD002470"
"62","0.03","521","1","PXD002470"
"63","0.031","522","1","PXD002470"
"64","0.032","522","1","PXD002470"
"65","0.033","525","1","PXD002470"
"66","0.034","530","1","PXD002470"
"67","0.035","530","1","PXD002470"
"68","0.036","538","1","PXD002470"
"69","0.037","541","1","PXD002470"
"70","0.038","541","1","PXD002470"
"71","0.039","541","1","PXD002470"
"72","0.04","541","1","PXD002470"
"73","0.041","547","1","PXD002470"
"74","0.042","547","1","PXD002470"
"75","0.043","547","1","PXD002470"
"76","0.044","548","1","PXD002470"
"77","0.045","548","1","PXD002470"
"78","0.046","548","1","PXD002470"
"79","0.047","548","1","PXD002470"
"80","0.048","552","1","PXD002470"
"81","0.049","553","1","PXD002470"
"82","0.05","553","1","PXD002470"
"83","0.01","448","2","PXD002470"
"84","0.011","467","2","PXD002470"
"85","0.012","467","2","PXD002470"
"86","0.013","469","2","PXD002470"
"87","0.014","469","2","PXD002470"
"88","0.015","472","2","PXD002470"
"89","0.016","472","2","PXD002470"
"90","0.017","472","2","PXD002470"
"91","0.018","472","2","PXD002470"
"92","0.019","474","2","PXD002470"
"93","0.02","474","2","PXD002470"
"94","0.021","483","2","PXD002470"
"95","0.022","483","2","PXD002470"
"96","0.023","491","2","PXD002470"
"97","0.024","491","2","PXD002470"
"98","0.025","492","2","PXD002470"
"99","0.026","492","2","PXD002470"
"100","0.027","494","2","PXD002470"
"101","0.028","494","2","PXD002470"
"102","0.029","494","2","PXD002470"
"103","0.03","494","2","PXD002470"
"104","0.031","498","2","PXD002470"
"105","0.032","498","2","PXD002470"
"106","0.033","498","2","PXD002470"
"107","0.034","500","2","PXD002470"
"108","0.035","500","2","PXD002470"
"109","0.036","501","2","PXD002470"
"110","0.037","501","2","PXD002470"
"111","0.038","503","2","PXD002470"
"112","0.039","503","2","PXD002470"
"113","0.04","503","2","PXD002470"
"114","0.041","503","2","PXD002470"
"115","0.042","503","2","PXD002470"
"116","0.043","503","2","PXD002470"
"117","0.044","506","2","PXD002470"
"118","0.045","506","2","PXD002470"
"119","0.046","506","2","PXD002470"
"120","0.047","516","2","PXD002470"
"121","0.048","516","2","PXD002470"
"122","0.049","518","2","PXD002470"
"123","0.05","521","2","PXD002470"
"124","0.01","491","3","PXD002470"
"125","0.011","491","3","PXD002470"
"126","0.012","491","3","PXD002470"
"127","0.013","499","3","PXD002470"
"128","0.014","500","3","PXD002470"
"129","0.015","500","3","PXD002470"
"130","0.016","502","3","PXD002470"
"131","0.017","502","3","PXD002470"
"132","0.018","505","3","PXD002470"
"133","0.019","505","3","PXD002470"
"134","0.02","506","3","PXD002470"
"135","0.021","506","3","PXD002470"
"136","0.022","506","3","PXD002470"
"137","0.023","506","3","PXD002470"
"138","0.024","507","3","PXD002470"
"139","0.025","507","3","PXD002470"
"140","0.026","508","3","PXD002470"
"141","0.027","508","3","PXD002470"
"142","0.028","511","3","PXD002470"
"143","0.029","511","3","PXD002470"
"144","0.03","512","3","PXD002470"
"145","0.031","512","3","PXD002470"
"146","0.032","512","3","PXD002470"
"147","0.033","517","3","PXD002470"
"148","0.034","517","3","PXD002470"
"149","0.035","521","3","PXD002470"
"150","0.036","521","3","PXD002470"
"151","0.037","521","3","PXD002470"
"152","0.038","521","3","PXD002470"
"153","0.039","526","3","PXD002470"
"154","0.04","531","3","PXD002470"
"155","0.041","531","3","PXD002470"
"156","0.042","531","3","PXD002470"
"157","0.043","531","3","PXD002470"
"158","0.044","531","3","PXD002470"
"159","0.045","531","3","PXD002470"
"160","0.046","532","3","PXD002470"
"161","0.047","534","3","PXD002470"
"162","0.048","534","3","PXD002470"
"163","0.049","538","3","PXD002470"
"164","0.05","542","3","PXD002470"
"165","0.01","539","4","PXD002470"
"166","0.011","548","4","PXD002470"
"167","0.012","548","4","PXD002470"
"168","0.013","551","4","PXD002470"
"169","0.014","551","4","PXD002470"
"170","0.015","551","4","PXD002470"
"171","0.016","551","4","PXD002470"
"172","0.017","554","4","PXD002470"
"173","0.018","564","4","PXD002470"
"174","0.019","564","4","PXD002470"
"175","0.02","564","4","PXD002470"
"176","0.021","564","4","PXD002470"
"177","0.022","566","4","PXD002470"
"178","0.023","568","4","PXD002470"
"179","0.024","568","4","PXD002470"
"180","0.025","568","4","PXD002470"
"181","0.026","568","4","PXD002470"
"182","0.027","571","4","PXD002470"
"183","0.028","572","4","PXD002470"
"184","0.029","572","4","PXD002470"
"185","0.03","572","4","PXD002470"
"186","0.031","572","4","PXD002470"
"187","0.032","574","4","PXD002470"
"188","0.033","574","4","PXD002470"
"189","0.034","574","4","PXD002470"
"190","0.035","576","4","PXD002470"
"191","0.036","576","4","PXD002470"
"192","0.037","576","4","PXD002470"
"193","0.038","576","4","PXD002470"
"194","0.039","578","4","PXD002470"
"195","0.04","581","4","PXD002470"
"196","0.041","581","4","PXD002470"
"197","0.042","583","4","PXD002470"
"198","0.043","584","4","PXD002470"
"199","0.044","584","4","PXD002470"
