"","Threshold","power_open","dcy_indx","PXID"
"1","0.01","480","0","PXD002470"
"2","0.011","493","0","PXD002470"
"3","0.012","493","0","PXD002470"
"4","0.013","494","0","PXD002470"
"5","0.014","494","0","PXD002470"
"6","0.015","498","0","PXD002470"
"7","0.016","507","0","PXD002470"
"8","0.017","507","0","PXD002470"
"9","0.018","514","0","PXD002470"
"10","0.019","514","0","PXD002470"
"11","0.02","515","0","PXD002470"
"12","0.021","515","0","PXD002470"
"13","0.022","515","0","PXD002470"
"14","0.023","515","0","PXD002470"
"15","0.024","516","0","PXD002470"
"16","0.025","516","0","PXD002470"
"17","0.026","517","0","PXD002470"
"18","0.027","527","0","PXD002470"
"19","0.028","527","0","PXD002470"
"20","0.029","528","0","PXD002470"
"21","0.03","528","0","PXD002470"
"22","0.031","528","0","PXD002470"
"23","0.032","528","0","PXD002470"
"24","0.033","528","0","PXD002470"
"25","0.034","528","0","PXD002470"
"26","0.035","528","0","PXD002470"
"27","0.036","531","0","PXD002470"
"28","0.037","531","0","PXD002470"
"29","0.038","531","0","PXD002470"
"30","0.039","531","0","PXD002470"
"31","0.04","531","0","PXD002470"
"32","0.041","531","0","PXD002470"
"33","0.042","531","0","PXD002470"
"34","0.043","531","0","PXD002470"
"35","0.044","534","0","PXD002470"
"36","0.045","537","0","PXD002470"
"37","0.046","537","0","PXD002470"
"38","0.047","540","0","PXD002470"
"39","0.048","542","0","PXD002470"
"40","0.049","542","0","PXD002470"
"41","0.05","543","0","PXD002470"
"42","0.01","508","1","PXD002470"
"43","0.011","508","1","PXD002470"
"44","0.012","508","1","PXD002470"
"45","0.013","508","1","PXD002470"
"46","0.014","512","1","PXD002470"
"47","0.015","512","1","PXD002470"
"48","0.016","514","1","PXD002470"
"49","0.017","514","1","PXD002470"
"50","0.018","515","1","PXD002470"
"51","0.019","515","1","PXD002470"
"52","0.02","522","1","PXD002470"
"53","0.021","522","1","PXD002470"
"54","0.022","523","1","PXD002470"
"55","0.023","527","1","PXD002470"
"56","0.024","527","1","PXD002470"
"57","0.025","529","1","PXD002470"
"58","0.026","529","1","PXD002470"
"59","0.027","529","1","PXD002470"
"60","0.028","529","1","PXD002470"
"61","0.029","531","1","PXD002470"
"62","0.03","535","1","PXD002470"
"63","0.031","535","1","PXD002470"
"64","0.032","536","1","PXD002470"
"65","0.033","536","1","PXD002470"
"66","0.034","539","1","PXD002470"
"67","0.035","545","1","PXD002470"
"68","0.036","545","1","PXD002470"
"69","0.037","545","1","PXD002470"
"70","0.038","545","1","PXD002470"
"71","0.039","547","1","PXD002470"
"72","0.04","547","1","PXD002470"
"73","0.041","547","1","PXD002470"
"74","0.042","547","1","PXD002470"
"75","0.043","547","1","PXD002470"
"76","0.044","547","1","PXD002470"
"77","0.045","547","1","PXD002470"
"78","0.046","548","1","PXD002470"
"79","0.047","548","1","PXD002470"
"80","0.048","548","1","PXD002470"
"81","0.049","548","1","PXD002470"
"82","0.05","548","1","PXD002470"
"83","0.01","486","2","PXD002470"
"84","0.011","493","2","PXD002470"
"85","0.012","493","2","PXD002470"
"86","0.013","494","2","PXD002470"
"87","0.014","494","2","PXD002470"
"88","0.015","495","2","PXD002470"
"89","0.016","495","2","PXD002470"
"90","0.017","497","2","PXD002470"
"91","0.018","497","2","PXD002470"
"92","0.019","497","2","PXD002470"
"93","0.02","497","2","PXD002470"
"94","0.021","499","2","PXD002470"
"95","0.022","506","2","PXD002470"
"96","0.023","506","2","PXD002470"
"97","0.024","506","2","PXD002470"
"98","0.025","506","2","PXD002470"
"99","0.026","509","2","PXD002470"
"100","0.027","509","2","PXD002470"
"101","0.028","512","2","PXD002470"
"102","0.029","512","2","PXD002470"
"103","0.03","513","2","PXD002470"
"104","0.031","518","2","PXD002470"
"105","0.032","518","2","PXD002470"
"106","0.033","520","2","PXD002470"
"107","0.034","520","2","PXD002470"
"108","0.035","520","2","PXD002470"
"109","0.036","520","2","PXD002470"
"110","0.037","520","2","PXD002470"
"111","0.038","520","2","PXD002470"
"112","0.039","520","2","PXD002470"
"113","0.04","520","2","PXD002470"
"114","0.041","522","2","PXD002470"
"115","0.042","522","2","PXD002470"
"116","0.043","522","2","PXD002470"
"117","0.044","534","2","PXD002470"
"118","0.045","534","2","PXD002470"
"119","0.046","534","2","PXD002470"
"120","0.047","538","2","PXD002470"
"121","0.048","547","2","PXD002470"
"122","0.049","547","2","PXD002470"
"123","0.05","548","2","PXD002470"
"124","0.01","509","3","PXD002470"
"125","0.011","509","3","PXD002470"
"126","0.012","515","3","PXD002470"
"127","0.013","515","3","PXD002470"
"128","0.014","521","3","PXD002470"
