"","Threshold","power_open","dcy_indx","PXID"
"1","0.01","412","0","PXD002470"
"2","0.011","412","0","PXD002470"
"3","0.012","432","0","PXD002470"
"4","0.013","432","0","PXD002470"
"5","0.014","432","0","PXD002470"
"6","0.015","432","0","PXD002470"
"7","0.016","439","0","PXD002470"
"8","0.017","439","0","PXD002470"
"9","0.018","450","0","PXD002470"
"10","0.019","450","0","PXD002470"
"11","0.02","450","0","PXD002470"
"12","0.021","450","0","PXD002470"
"13","0.022","450","0","PXD002470"
"14","0.023","450","0","PXD002470"
"15","0.024","450","0","PXD002470"
"16","0.025","452","0","PXD002470"
"17","0.026","452","0","PXD002470"
"18","0.027","452","0","PXD002470"
"19","0.028","452","0","PXD002470"
"20","0.029","452","0","PXD002470"
"21","0.03","452","0","PXD002470"
"22","0.031","452","0","PXD002470"
"23","0.032","452","0","PXD002470"
"24","0.033","463","0","PXD002470"
"25","0.034","463","0","PXD002470"
"26","0.035","465","0","PXD002470"
"27","0.036","465","0","PXD002470"
"28","0.037","468","0","PXD002470"
"29","0.038","468","0","PXD002470"
"30","0.039","468","0","PXD002470"
"31","0.04","468","0","PXD002470"
"32","0.041","469","0","PXD002470"
"33","0.042","469","0","PXD002470"
"34","0.043","471","0","PXD002470"
"35","0.044","471","0","PXD002470"
"36","0.045","471","0","PXD002470"
"37","0.046","471","0","PXD002470"
"38","0.047","471","0","PXD002470"
"39","0.048","471","0","PXD002470"
"40","0.049","472","0","PXD002470"
"41","0.05","472","0","PXD002470"
"42","0.01","441","1","PXD002470"
"43","0.011","441","1","PXD002470"
"44","0.012","446","1","PXD002470"
"45","0.013","446","1","PXD002470"
"46","0.014","446","1","PXD002470"
"47","0.015","446","1","PXD002470"
"48","0.016","448","1","PXD002470"
"49","0.017","448","1","PXD002470"
"50","0.018","449","1","PXD002470"
"51","0.019","449","1","PXD002470"
"52","0.02","457","1","PXD002470"
"53","0.021","457","1","PXD002470"
"54","0.022","471","1","PXD002470"
"55","0.023","471","1","PXD002470"
"56","0.024","471","1","PXD002470"
"57","0.025","471","1","PXD002470"
"58","0.026","471","1","PXD002470"
"59","0.027","471","1","PXD002470"
"60","0.028","473","1","PXD002470"
"61","0.029","473","1","PXD002470"
"62","0.03","474","1","PXD002470"
"63","0.031","474","1","PXD002470"
"64","0.032","475","1","PXD002470"
"65","0.033","475","1","PXD002470"
"66","0.034","478","1","PXD002470"
"67","0.035","478","1","PXD002470"
"68","0.036","483","1","PXD002470"
"69","0.037","483","1","PXD002470"
"70","0.038","484","1","PXD002470"
"71","0.039","484","1","PXD002470"
"72","0.04","484","1","PXD002470"
"73","0.041","484","1","PXD002470"
"74","0.042","484","1","PXD002470"
"75","0.043","490","1","PXD002470"
"76","0.044","490","1","PXD002470"
"77","0.045","490","1","PXD002470"
"78","0.046","490","1","PXD002470"
"79","0.047","492","1","PXD002470"
"80","0.048","492","1","PXD002470"
"81","0.049","492","1","PXD002470"
"82","0.05","492","1","PXD002470"
"83","0.01","926","0","PXD006856"
"84","0.011","926","0","PXD006856"
"85","0.012","932","0","PXD006856"
"86","0.013","952","0","PXD006856"
"87","0.014","963","0","PXD006856"
"88","0.015","967","0","PXD006856"
"89","0.016","987","0","PXD006856"
"90","0.017","988","0","PXD006856"
"91","0.018","988","0","PXD006856"
"92","0.019","988","0","PXD006856"
"93","0.02","991","0","PXD006856"
"94","0.021","995","0","PXD006856"
"95","0.022","997","0","PXD006856"
"96","0.023","997","0","PXD006856"
