"","Threshold","power_narrow","dcy_indx","PXID"
"1","0.01","443","0","PXD002470"
"2","0.011","443","0","PXD002470"
"3","0.012","447","0","PXD002470"
"4","0.013","447","0","PXD002470"
"5","0.014","447","0","PXD002470"
"6","0.015","447","0","PXD002470"
"7","0.016","447","0","PXD002470"
"8","0.017","447","0","PXD002470"
"9","0.018","457","0","PXD002470"
"10","0.019","457","0","PXD002470"
"11","0.02","457","0","PXD002470"
"12","0.021","457","0","PXD002470"
"13","0.022","463","0","PXD002470"
"14","0.023","463","0","PXD002470"
"15","0.024","465","0","PXD002470"
"16","0.025","465","0","PXD002470"
"17","0.026","465","0","PXD002470"
"18","0.027","465","0","PXD002470"
"19","0.028","466","0","PXD002470"
"20","0.029","466","0","PXD002470"
"21","0.03","471","0","PXD002470"
"22","0.031","471","0","PXD002470"
"23","0.032","471","0","PXD002470"
"24","0.033","471","0","PXD002470"
"25","0.034","472","0","PXD002470"
"26","0.035","472","0","PXD002470"
"27","0.036","474","0","PXD002470"
"28","0.037","474","0","PXD002470"
"29","0.038","475","0","PXD002470"
"30","0.039","475","0","PXD002470"
"31","0.04","475","0","PXD002470"
"32","0.041","475","0","PXD002470"
"33","0.042","477","0","PXD002470"
"34","0.043","477","0","PXD002470"
"35","0.044","477","0","PXD002470"
"36","0.045","477","0","PXD002470"
"37","0.046","477","0","PXD002470"
"38","0.047","477","0","PXD002470"
"39","0.048","477","0","PXD002470"
"40","0.049","479","0","PXD002470"
"41","0.05","479","0","PXD002470"
"42","0.01","442","1","PXD002470"
"43","0.011","442","1","PXD002470"
"44","0.012","448","1","PXD002470"
"45","0.013","448","1","PXD002470"
"46","0.014","452","1","PXD002470"
"47","0.015","452","1","PXD002470"
"48","0.016","458","1","PXD002470"
"49","0.017","458","1","PXD002470"
"50","0.018","459","1","PXD002470"
"51","0.019","459","1","PXD002470"
"52","0.02","459","1","PXD002470"
"53","0.021","459","1","PXD002470"
"54","0.022","459","1","PXD002470"
"55","0.023","459","1","PXD002470"
"56","0.024","459","1","PXD002470"
"57","0.025","459","1","PXD002470"
"58","0.026","459","1","PXD002470"
"59","0.027","460","1","PXD002470"
"60","0.028","460","1","PXD002470"
"61","0.029","462","1","PXD002470"
"62","0.03","462","1","PXD002470"
"63","0.031","463","1","PXD002470"
"64","0.032","463","1","PXD002470"
"65","0.033","464","1","PXD002470"
"66","0.034","464","1","PXD002470"
"67","0.035","467","1","PXD002470"
"68","0.036","467","1","PXD002470"
"69","0.037","467","1","PXD002470"
"70","0.038","467","1","PXD002470"
"71","0.039","467","1","PXD002470"
"72","0.04","467","1","PXD002470"
"73","0.041","467","1","PXD002470"
"74","0.042","467","1","PXD002470"
"75","0.043","470","1","PXD002470"
"76","0.044","470","1","PXD002470"
"77","0.045","471","1","PXD002470"
"78","0.046","471","1","PXD002470"
"79","0.047","473","1","PXD002470"
"80","0.048","473","1","PXD002470"
"81","0.049","473","1","PXD002470"
"82","0.05","473","1","PXD002470"
"83","0.01","649","0","PXD006856"
"84","0.011","649","0","PXD006856"
"85","0.012","649","0","PXD006856"
"86","0.013","650","0","PXD006856"
"87","0.014","658","0","PXD006856"
"88","0.015","658","0","PXD006856"
"89","0.016","662","0","PXD006856"
"90","0.017","662","0","PXD006856"
"91","0.018","662","0","PXD006856"
"92","0.019","663","0","PXD006856"
"93","0.02","663","0","PXD006856"
"94","0.021","663","0","PXD006856"
"95","0.022","663","0","PXD006856"
"96","0.023","666","0","PXD006856"
"97","0.024","668","0","PXD006856"
